image_id,artist_id,image_title,subject,style,museum,label,image_url
bc4712f5-e234-442b-87f6-f0ec37d979c0,f588c45d-fa9d-4643-a0c9-f6a745e14b53,The Death of Decius Mus,,Baroque,The Prado Museum,"24"" Long Edge | 30"" Long Edge | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/c/c1/Vilhelm_Lundstr%C3%B8m%2C_Copy_after_Rubens%2C_The_death_of_Decius_Mus_%28Prado%2C_Madrid%29%2C_c._1920%2C_0193NMK%2C_Nivaagaards_Malerisamling.jpg
bd1b7b15-fbc5-4a2a-b994-c16af0e1fb50,4c33a779-ac0c-49b4-9913-12c6e3d6a1f8,An Architectural Caprice,Architectures,Rococo,National Gallery,"20"" x 30""(51 cm x 76 cm) | 24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/8/88/Francesco_Guardi_%281712-1793%29_-_An_Architectural_Caprice_-_NG2519_-_National_Gallery.jpg
d541a913-55d1-4f0d-97b9-5f616175c366,dd9dfcb5-380e-4db4-82ff-26affe1a39ae,Gleneida Lake,Landscape Art,,,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/4/47/James_McDougal_Hart_-_Gleneida_Lake%2C_Putnam_County%2C_New_York_%281863%29.jpg
42d1ab45-129a-49e4-b499-32506daa51c5,aed1482c-d709-4a3f-aa53-eea96adb3df0,Flight (Tahiti Idyll),,Post-Impressionism,,"20"" x 16""(51 cm x 41 cm) | 24"" x 20""(61 cm x 51 cm) | 30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/7/7e/Paul_Gauguin_-_Flight_%28Tahiti_Idyll%29.JPG
cfe2d8bf-1baf-4c45-aff4-21c09664f2c9,2a745e34-358b-4faf-b019-7f72c3bba9fe,King Mark and La Belle Iseult,,Neo-Classicism,,"30"" x 30""(76 cm x 76 cm) | 36"" x 36""(91 cm x 91 cm) | 40"" x 40""(102 cm x 102 cm) | 48"" x 48""(122 cm x 122 cm) | 60"" x 60""(152 cm x 152 cm)",https://upload.wikimedia.org/wikipedia/commons/5/51/Edward_Burne-Jones_-_King_Mark_and_La_Belle_Iseult_-_Google_Art_Project.jpg
b88d9979-3933-4c54-9c69-c0d3319c66ee,3a951d6c-02d1-415b-817e-a5fd016b0331,The Ship Jacob A. Stamler,Marine Art/Maritime,,,"36"" x 24""(91 cm x 61 cm) | 46"" x 30""(117 cm x 76 cm) | 54"" x 36""(137 cm x 91 cm) | 60"" x 40""(152 cm x 102 cm) | 72"" x 48""(183 cm x 122 cm)",https://upload.wikimedia.org/wikipedia/commons/b/b7/Jacob_A._Stamler_%281856_ship%29.jpg
aa507891-c2a9-43d6-9905-3aff0214a4d6,264dc9b8-65f9-4860-b1d3-a6d9f97e5d5b,Portrait of Richard Milles,Portraits,Rococo,National Gallery,"20"" Long Edge | 24"" Long Edge | 24"" x 36""(61 cm x 91 cm) | 30"" Long Edge | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/9/9e/Pompeo_Batoni_-_Portrait_of_Richard_Milles_-_1758.jpg
c95d95ea-f2dc-44d5-85d4-85d583c16d15,aaa3cb71-478c-4c3d-be8e-9539a686834b,Agostina,,Romanticism,National Gallery of Art,"24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/f/f1/Jean-Baptiste-Camille_Corot_-_Agostina_-_Google_Art_Project.jpg
77b45489-b1b7-45ab-b41d-62fb368bf219,a6854f12-5fa0-40ca-8e19-4c86d277cdbf,Farm Landscape,,Impressionism,,"30"" x 24""(76 cm x 61 cm) | 32"" x 26""(81 cm x 66 cm) | 36"" x 29""(91 cm x 74 cm) | 40"" x 30""(102 cm x 76 cm) | 48"" x 36""(122 cm x 91 cm) | 60"" x 48""(152 cm x 122 cm) | 68"" x 54""(173 cm x 137 cm)",https://upload.wikimedia.org/wikipedia/commons/8/8c/Ernest_Lawson_-_An_abandoned_farm.jpg
cfbc20d2-85f4-4a7f-872b-a024e11acbf4,ef6d4fbe-23f4-4bd9-b373-382734c1dbf3,"Portrait of a Lady, Lina Bilitis, with Two Pekinese",Portraits,Realism,,"24"" x 36""(61 cm x 91 cm) | 30"" x 46""(76 cm x 117 cm) | 36"" x 54""(91 cm x 137 cm) | 40"" x 60""(102 cm x 152 cm) | 48"" x 72""(122 cm x 183 cm)",https://upload.wikimedia.org/wikipedia/commons/1/1e/Boldini_-_portrait-of-a-lady-lina-bilitis-with-two-pekinese-1913.jpg
